CountyName,year,Reporting date,"
Search and rescue time",Case closing time,Cases older than 48 hours (yes/no),Mountain domain name,Mountain area management agency,Entrance to the mountain,destination,Out of the mountain pass,X_3826,Y_3826,Main cause of occurrence,District fire protection unit,Volume-Total,Number of police dispatches,National Park Service missions,Number of dispatches from the Forest Service,Person,Ministry of Defense Seagull helicopter sorties,Quantity,Search and rescue dog dispatches,Unmanned aerial photography sorties dispatched,Whether it violates relevant mountain climbing laws,death,rescued,health status,missing,Yes/no Send to hospital
縣市別,西元年,報案時日,搜救時間,結案時間,超過48小時案件(是/否),山域名稱,山域管理(制)機關,入山口,目的地,出山口,X座標,Y座標,發生主因,轄區消防單位,鄰近支援單位,警察出動人次,國家公園管理處出動人次,林務局出動人次,民間搜救人次,國防部海鷗直升機出動架次,空勤總隊直升機出動架次,搜救犬出動次,無人空拍機出動架次,是否違反相關登山法令,死亡,獲救,健康狀況,失蹤,備註 (是/否送醫)
宜蘭縣,2024,2024/1/12 17:51,2024/1/12 23:05,,否,石觀音步道,羅東林區管理處,石觀音步道,石觀音步道,石觀音步道,24.9643,121.903,迷路,4,0,0,0,0,0,0,0,0,0,否,0,2,2,0,否
宜蘭縣,2024,2024/1/14 17:39,2024/1/14 20:30,,否,石觀音步道,羅東林區管理處,桃源谷步道入山口,石觀音寺,石觀音步道,24.9643,121.903,迷路,4,0,0,0,0,0,0,0,0,0,否,0,1,1,0,否
宜蘭縣,2024,2024/1/23 06:48,2024/1/23 09:05,,否,加羅湖,羅東林區管理處,加羅湖入山口,加羅湖,加羅湖入山口,24.4746,121.478,迷路,8,0,2,0,2,0,0,0,0,0,否,0,1,0,0,否
宜蘭縣,2024,2024/2/17 18:07,2024/2/17 22:15,,否,鵲子山,羅東林區管理處,鵲子山,鵲子山,鵲子山,24.8502,121.768,迷路,9,0,0,0,2,0,0,0,0,0,否,0,7,7,0,否
宜蘭縣,2024,2024/3/4 18:28,2024/3/5 14:14,,否,安平坑林道,羅東林區管理處,安平坑林道,安平坑林道,安平坑林道,24.5649,121.713,創傷,14,0,0,0,2,0,0,0,0,0,否,0,2,1,0,否
宜蘭縣,2024,2024/4/4 10:10,2024/4/4 18:20,,否,梵梵溪河谷,羅東林區管理處,梵梵溪河谷,梵梵溪河谷,梵梵溪河谷,24.6478,121.484,墜谷,7,0,0,0,2,0,0,0,0,0,否,0,1,0,0,是
宜蘭縣,2024,2024/5/18 18:44,2024/5/19 13:00,,否,巴博庫魯山,羅東林區管理處,巴博庫魯山第一登山口,巴博庫魯山,巴博庫魯山第一登山口,24.6586,121.474,迷路,13,0,1,0,3,0,0,0,0,0,否,0,9,9,0,否
宜蘭縣,2024,2024/7/19 14:47,2024/7/19 15:55,,否,扇子瀑布,羅東林區管理處,扇子瀑布,扇子瀑布,扇子瀑布,24.5145,121.771,迷路,7,0,0,0,0,0,0,0,0,0,否,0,1,0,0,否
宜蘭縣,2024,2024/10/27 00:33,2024/10/27 05:05,,否,巴博庫魯山,羅東林區管理處,巴博庫魯山第一登山口,巴博庫魯山,巴博庫魯山第一登山口,24.6737,121.48,創傷,4,0,1,0,1,0,0,0,0,0,否,0,1,0,0,是
